Id,Name,Ff_time,Prize_money,Correct_answers,Lost_Question,Lost_money,Lost_how,Ata_used,Ff_used,Pp_used,Ata_question,Ata_perc,Ata_correct,Ff_question,Ff_correct,Pp_question,Pp_correct,Phoned_who,Bad_question,Bad_number
232,Vivica Fox,18.48,64000,11,12,0,walked,1,1,1,11,76,1,12,0,12,0,friend,0,0
233,Joy Behar,6.56,125000,12,13,0,walked,1,1,1,13,55,1,12,1,13,0,friend,0,0
234,Norm MacDonald,0,500000,14,15,0,walked,1,1,1,11,85,1,13,1,12,1,friend,0,0
235,Ryan Flynn,4.42,1000,9,10,15000,wrong,1,1,1,2,82,1,8,1,10,0,friend,0,0
236,Lisa Dewiit,7.14,16000,9,10,0,walked,1,1,1,6,83,1,10,1,8,1,brother,0,0
237,Debra Humphrey,6.58,8000,8,9,0,walked,1,1,1,8,65,1,9,0,9,0,friend,0,0
238,Michael Shveima,3.72,125000,12,13,0,walked,1,1,1,7,79,1,12,1,11,1,friend,0,0
239,John Dormer,5.06,1000,9,10,15000,wrong,1,1,1,8,46,1,10,0,10,0,brother,0,0
240,Justin Castillo,3.74,500000,14,15,0,walked,1,1,1,2,80,1,13,1,7,1,friend,0,0
241,Rob Aldridge,5.62,32000,11,12,32000,wrong,1,1,1,8,65,1,11,1,12,0,teacher,0,0
242,David Campbell,6.07,1000,9,10,15000,wrong,1,1,1,5,74,1,10,0,10,0,friend,0,0
243,Lisa Williamson,4.54,1000,9,10,15000,wrong,1,1,1,7,95,1,8,1,10,0,friend ,0,0
244,Peter Abide,6.42,125000,12,13,0,walked,1,1,1,8,62,1,11,1,12,1,friend,0,0
245,Gus Wheeler,8.94,32000,10,11,0,wrong,1,0,1,10,65,1,0,2,11,0,teacher,0,0
246,Joe Erwin,6.8,64000,11,12,0,walked,1,1,1,11,34,1,11,1,10,1,friend,0,0
247,Terry Jones,5.91,250000,13,14,0,walked,1,1,1,6,88,1,9,1,10,1,daughter,0,0
248,Jim Matthews,5.34,500000,14,15,0,walked,1,1,1,15,48,0,13,1,13,0,colleague,0,0
249,Kristine Marklein,4.35,125000,12,13,0,walked,1,1,1,7,0,1,9,1,10,1,contestant,0,0
250,David Marks,8.7,1000,5,6,0,wrong,1,0,0,4,82,1,0,2,0,2,na,0,0
251,Steve Brown,4.28,32000,11,12,32000,wrong,1,1,1,8,63,1,12,0,11,1,friend,0,0
252,Kevin McSwain,4.76,125000,12,13,0,walked,1,1,1,9,69,1,12,1,12,1,teacher,0,0
253,Chris Gum,4.89,250000,13,14,0,walked,1,1,1,6,61,1,13,1,11,1,friend,0,0
254,Andy Aaron,5.04,250000,13,14,0,walked,1,1,1,10,51,1,13,1,14,0,friend,0,0
255,Grant Schindler,4.64,1000,7,8,3000,wrong,1,0,0,8,80,0,0,2,0,2,na,0,0
256,Kha Vo,5.5,32000,10,11,0,wrong,1,1,1,5,85,1,8,1,10,1,teacher,0,0
257,Ali Wampler,5.18,32000,10,11,0,wrong,1,1,1,5,74,1,10,1,8,1,friend,0,0
258,Barry Chromey,6.1,125000,12,13,0,walked,1,1,1,9,53,1,11,1,12,1,cousin,0,0
259,Marty Scott,4.73,250000,13,14,0,walked,1,1,1,3,70,1,13,1,13,1,friend,0,0
260,Jack Martin,7.84,250000,13,14,0,walked,1,0,1,4,90,1,0,2,13,1,friend,0,0
261,Tom Syta,4.21,125000,12,13,0,walked,1,1,1,9,82,1,13,0,10,1,brother,0,0
262,Sal Mecca,4.59,0,4,5,500,wrong,1,1,1,4,75,1,5,0,5,0,brother,0,0
263,Jason Wong,4.44,64000,11,12,0,walked,1,1,1,8,84,1,9,1,9,1,friend,0,0
264,Scott Russell,5.03,32000,10,11,0,wrong,1,1,1,7,78,1,11,0,9,1,father,0,0
265,Mike Bordin,6.68,1000,9,10,15000,wrong,1,0,0,9,82,1,0,2,0,2,na,0,0
266,John Norquist,4.3,250000,13,14,0,walked,1,1,1,4,85,1,12,1,9,1,friend,0,0
267,Bobby Hoerner,4.7,16000,9,10,0,walked,1,1,1,8,81,1,9,1,9,0,teacher,0,0
268,Chris Golschmidt,6.27,0,4,5,500,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
269,Raymelle Greening,5.21,32000,13,14,218000,wrong,1,1,1,9,61,1,9,1,10,0,friend,0,0
270,Alex Rachmiel,4.6,64000,11,12,0,walked,1,1,1,8,89,1,12,0,11,1,friend,0,0
271,Ed Toutant,3.68,1860000,15,16,0,won,1,1,1,9,41,1,15,1,9,1,friend,1,9
272,Amy Turner,3.54,32000,10,11,0,wrong,1,1,1,8,80,1,10,1,10,0,friend,0,0
273,Kevin O'Neill,9.25,125000,12,13,0,walked,1,1,1,10,80,1,12,1,12,0,brother_in_law,0,0
274,Dan Stewart,5.98,64000,11,12,0,walked,1,1,1,12,57,1,11,1,12,0,doctor,0,0
275,Nancy Edwards,6.8,32000,10,11,0,wrong,1,1,1,6,90,1,9,1,9,1,teacher,0,0
276,Pete Booker,4.4,125000,12,13,0,walked,1,1,1,9,54,1,10,1,11,1,friend,1,12
277,Eric Simon,4.54,125000,12,13,0,walked,1,1,1,8,76,1,13,1,13,0,wife,0,0
278,Tiffani Keith-Jefferis,3.88,1000,5,6,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
279,Tammy Smith,6.48,1000,7,8,3000,wrong,1,1,1,6,78,1,8,0,8,0,sister,0,0
280,Dave McCartyh,4.64,125000,12,13,0,walked,1,1,1,8,70,1,12,1,12,0,colleague,0,0
281,David Valeck,5.62,32000,11,12,32000,wrong,1,1,1,6,84,1,10,1,10,1,friend,0,0
282,Peter Braxton,5.19,250000,13,14,0,walked,1,1,1,9,53,1,12,1,12,0,friend,0,0
283,Caleb Burroughs,5.93,32000,10,11,0,wrong,1,0,1,9,62,1,0,2,10,1,uncle,0,0
284,Thomas Root,4.93,32000,10,11,0,wrong,1,0,1,9,71,1,0,2,11,0,father,0,0
285,John Hunter,4.08,32000,10,11,0,wrong,1,1,1,7,82,1,9,1,11,0,father_in_law,0,0
286,Justin Ware,4.06,1000,8,9,7000,wrong,1,0,0,9,40,0,0,2,0,2,na,0,0
287,Mark McGrath,6,32000,10,11,0,wrong,1,1,0,11,66,0,9,1,0,2,na,0,0
288,Lars Ulrich,6.96,32000,11,12,32000,wrong,1,0,0,11,63,1,0,2,0,2,na,0,0
289,Gene Simmons,9.54,1000,8,9,7000,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
290,Gladys Knight,12.47,125000,12,13,0,walked,1,1,1,11,82,1,12,0,12,0,friend,0,0
291,Amy Grant,9.68,125000,12,13,0,walked,1,1,1,11,55,1,13,0,12,1,friend,0,0
292,Eric Grosskurth,5.86,250000,13,14,0,walked,1,1,1,11,37,1,11,1,13,1,friend,0,0
293,Connie Stoltz,6.32,250000,13,14,0,walked,1,1,1,14,52,0,13,1,13,1,brother,0,0
294,Tony D'Alesandro,5.78,32000,10,11,0,wrong,1,1,1,9,59,1,10,1,11,0,friend,0,0
295,Helga Toriello,4.95,125000,12,13,0,walked,1,1,1,7,84,1,12,1,12,1,husband,0,0
296,Arthur O'Leary,7.58,125000,12,13,0,walked,1,1,1,9,56,1,10,1,12,1,daughter,0,0
297,Stan Wu,3.77,0,4,5,500,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
298,David Becker,4.18,125000,12,13,0,walked,1,1,1,9,55,1,13,0,13,0,friend,0,0
299,Christy Monaco,6.23,1000,8,9,7000,wrong,1,0,1,9,50,0,0,2,9,0,friend,0,0
300,Eric Oberhand,6.48,250000,13,14,0,walked,1,1,1,8,41,1,12,1,8,1,daughter,0,0
301,Jason Kosove,5.07,1000,6,7,1000,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
302,Jack Bowers,6,1000,7,8,3000,wrong,1,0,0,8,56,0,0,2,0,2,na,0,0
303,Tom Hatfield,3.67,1000,7,8,3000,wrong,1,1,1,6,84,1,7,1,7,0,friend,0,0
